contract_number;client_id;phone_id;color_id;merchant_id;price;date_purch;qu_inst;inst
137;60095;1047390;23;1;2981;02.03.2019;12;249
138;85217;1627062;20;1;4886;03.03.2019;12;408
139;20211;1342641;12;1;3290;06.03.2019;12;275
140;21715;1464854;23;1;3843;09.03.2019;6;641
141;40506;1504686;20;1;5639;09.03.2019;12;470
142;77079;1464854;23;1;3891;12.03.2019;6;649
143;39603;1437820;23;1;2524;13.03.2019;6;421
144;69350;1333355;20;1;4249;17.03.2019;12;355
145;74011;1435957;2;1;5724;19.03.2019;12;477
146;52295;1318171;2;1;7101;20.03.2019;12;592
147;82023;910794;9;1;4368;21.03.2019;12;364
148;100188;1494314;23;1;1587;28.03.2019;6;265
149;37138;1383793;23;1;4387;28.03.2019;6;732
150;59685;1500327;20;1;9109;03.04.2019;12;760
151;96764;1437820;23;1;2802;05.04.2019;12;234
152;31004;1683787;23;1;5175;05.04.2019;6;863
153;92938;1370038;23;1;2685;08.04.2019;6;448
154;23962;1402377;9;1;3961;12.04.2019;6;661
155;79605;1370038;12;1;2634;13.04.2019;6;439
156;79070;1435957;2;1;5827;14.04.2019;12;486
157;95651;1402377;9;1;3947;18.04.2019;6;658
158;28528;1318171;23;1;6928;25.04.2019;12;578
159;26815;1494846;23;1;8905;27.04.2019;6;1485
160;39392;1047390;23;1;2969;01.05.2019;6;495
161;92512;1627062;2;1;5069;01.05.2019;6;845
162;83507;1333355;20;1;3949;02.05.2019;6;659
163;108891;1402377;23;1;4174;03.05.2019;12;348
164;59940;1370038;23;1;2262;04.05.2019;12;189
165;104802;1318171;18;1;6671;07.05.2019;6;1112
166;101283;1342662;12;1;3632;09.05.2019;12;303
167;53055;1382096;20;1;3088;10.05.2019;6;515
168;4906;1370038;9;1;2268;13.05.2019;6;378
169;59818;1370038;23;1;2265;16.05.2019;12;189
170;5823;1318171;2;1;7009;22.05.2019;6;1169
171;77175;1683787;23;1;5518;25.05.2019;6;920
172;105971;1318171;2;1;7016;26.05.2019;6;1170
173;90634;1342641;9;1;3410;31.05.2019;12;285
174;57868;1435957;20;1;5879;06.06.2019;12;490
175;52052;1494314;23;1;1399;08.06.2019;12;117
176;43431;1504686;17;1;5797;24.06.2019;12;484
177;75091;1494314;9;1;1350;04.07.2019;6;225
178;103094;1342641;23;1;3405;06.07.2019;6;568
179;84020;1435957;20;1;6085;12.07.2019;6;1015
180;17618;1383793;23;1;4621;17.07.2019;12;386
181;4754;1435957;2;1;6154;21.07.2019;12;513
182;3246;1464854;20;1;3660;22.07.2019;6;610
183;13323;1435957;21;1;5850;28.07.2019;6;975
184;53988;1494314;20;1;1459;30.07.2019;6;244
185;113092;1504686;17;1;5671;04.08.2019;6;946
186;46801;1318171;23;1;7074;08.08.2019;6;1179
187;49369;1342641;12;1;3041;10.08.2019;12;254
188;63255;1342641;9;1;3083;10.08.2019;12;257
189;3242;1370038;12;1;2564;21.08.2019;12;214
190;107874;1402377;23;1;3918;23.08.2019;6;653
191;101425;1318171;23;1;6771;28.08.2019;12;565
192;51518;1627062;20;1;4815;28.08.2019;12;402
193;11738;1383800;9;1;5342;29.08.2019;12;446
194;31757;1437820;2;1;2685;30.08.2019;6;448
195;89866;1494314;9;1;1523;01.09.2019;12;127
196;56434;1494314;9;1;1282;01.09.2019;12;107
197;99525;1435957;23;1;5707;05.09.2019;6;952
198;45399;1683787;23;1;5419;12.09.2019;12;452
199;107047;1342641;12;1;3348;19.09.2019;12;279
200;89788;1480783;9;1;2484;23.09.2019;12;207
201;108556;1342662;12;1;3484;24.09.2019;12;291
202;58324;1333355;9;1;3997;25.09.2019;12;334
203;16185;1383793;23;1;4200;01.10.2019;12;350
204;106785;1383800;23;1;5387;03.10.2019;6;898
205;40559;1370038;12;1;2643;08.10.2019;12;221
206;7716;1333355;9;1;4150;09.10.2019;6;692
207;54822;1383793;23;1;4226;14.10.2019;12;353
208;64806;1435957;2;1;5994;17.10.2019;6;999
209;85464;1464854;20;1;3885;20.10.2019;12;324
210;37240;1480783;9;1;2289;21.10.2019;6;382
211;80083;1318171;2;1;6735;22.10.2019;12;562
212;21669;1627062;2;1;4943;23.10.2019;12;412
213;37712;1342641;12;1;3289;24.10.2019;12;275
214;71872;1504686;20;1;5638;27.10.2019;12;470
215;16675;1342662;23;1;3590;29.10.2019;12;300
216;13647;1435897;23;1;5316;31.10.2019;6;886
217;20359;1683787;20;1;5344;01.11.2019;12;446
218;91688;1627062;23;1;4795;02.11.2019;12;400
219;44172;1333355;23;1;3954;07.11.2019;6;659
220;87749;1318171;18;1;6716;12.11.2019;6;1120
221;31260;1333355;20;1;4058;15.11.2019;12;339
222;36256;1683787;23;1;5245;19.11.2019;12;438
223;20514;1504686;17;1;5618;21.11.2019;12;469
224;44931;1494314;20;1;1428;25.11.2019;12;119
225;93337;1627062;20;1;5019;28.11.2019;6;837
226;16406;1437820;2;1;2510;07.12.2019;12;210
227;98404;1333355;23;1;3972;10.12.2019;12;331
228;21693;1383800;9;1;5253;11.12.2019;12;438
229;105414;1333355;17;1;4283;14.12.2019;12;357
230;26420;1383793;23;1;4648;15.12.2019;6;775
231;87444;1333355;17;1;3972;16.12.2019;12;331
232;1720;1464854;23;1;3895;20.12.2019;12;325
233;72570;1437820;2;1;2520;22.12.2019;12;210
234;66624;1318171;20;1;6828;23.12.2019;6;1138
235;82567;1627062;23;1;4840;23.12.2019;12;404
236;17387;1435957;21;1;5869;29.12.2019;6;979
237;27357;1383800;9;1;5394;31.12.2019;6;899
1;89706;1274886;20;2;12656;08.01.2018;12;1055
2;95449;1616966;23;2;4535;13.01.2018;6;756
3;78075;1206206;17;2;17153;21.01.2018;12;1430
4;47094;1616966;23;2;4557;29.01.2018;12;380
5;51618;1530604;23;2;1383;07.02.2018;6;231
6;94403;1538994;19;2;13269;07.02.2018;12;1106
7;101962;1530604;23;2;1343;10.02.2018;12;112
8;73537;1616966;20;2;4383;15.02.2018;12;366
9;50831;1570989;20;2;16587;22.03.2018;12;1383
10;73400;1538994;12;2;13506;01.04.2018;6;2251
11;35533;1578511;20;2;18006;07.04.2018;12;1501
12;40892;1578511;20;2;18028;14.04.2018;6;3005
13;53224;1570989;20;2;16442;25.04.2018;12;1371
14;87305;1538994;12;2;13310;01.05.2018;6;2219
15;72766;1538994;12;2;13115;19.05.2018;6;2186
16;12630;1206206;20;2;17302;24.05.2018;6;2884
17;47825;1616966;20;2;4659;26.05.2018;6;777
18;84840;1538994;12;2;13307;26.05.2018;6;2218
19;3332;1570989;20;2;16653;29.05.2018;12;1388
20;56559;1578511;23;2;18128;30.05.2018;6;3022
21;15148;1206206;23;2;17191;02.06.2018;6;2866
22;80827;1704297;23;2;6898;16.06.2018;12;575
23;52302;1578511;9;2;18155;10.07.2018;6;3026
24;41642;1206206;12;2;17228;15.07.2018;6;2872
25;110835;1538994;23;2;13285;19.07.2018;6;2215
26;65865;1206206;23;2;17174;20.07.2018;12;1432
27;51838;1570989;19;2;16370;02.08.2018;12;1365
28;111181;1530604;23;2;1028;06.08.2018;6;172
29;52058;1206206;12;2;17253;17.08.2018;6;2876
30;95459;1538994;19;2;13312;21.08.2018;6;2219
31;5321;1616966;23;2;4610;13.09.2018;6;769
32;67015;1538994;19;2;13150;16.09.2018;12;1096
33;100312;1578511;23;2;17952;21.09.2018;6;2992
34;43689;1538994;19;2;13325;10.10.2018;12;1111
35;6429;1538994;23;2;13138;11.10.2018;12;1095
36;57400;1206206;12;2;17389;21.10.2018;12;1450
37;73293;1538994;23;2;13157;24.10.2018;6;2193
38;102178;1578511;20;2;18273;29.10.2018;6;3046
39;1804;1206206;23;2;17378;02.11.2018;6;2897
40;32989;1206206;12;2;17363;18.11.2018;6;2894
41;22934;1578511;19;2;18263;02.12.2018;12;1522
42;68841;1206206;23;2;17254;09.12.2018;6;2876
43;81746;1206206;12;2;17244;10.12.2018;6;2874
44;93698;1570989;19;2;16411;31.12.2018;12;1368
45;97394;1206206;17;2;17286;11.01.2019;6;2881
46;114808;1578511;23;2;17849;12.01.2019;12;1488
47;62815;1616966;2;2;4679;16.01.2019;12;390
48;60997;1570989;20;2;16612;03.02.2019;12;1385
49;100858;1578511;23;2;17919;08.02.2019;12;1494
50;39662;1206206;17;2;17480;09.02.2019;12;1457
51;77156;1616966;23;2;4656;02.03.2019;12;388
52;72577;1578511;20;2;18197;10.03.2019;12;1517
53;105829;1578511;23;2;18278;22.03.2019;12;1524
54;4291;1704297;23;2;7236;22.03.2019;12;603
55;106177;1206206;12;2;17547;24.03.2019;6;2925
56;106445;1530604;23;2;1098;29.03.2019;12;92
57;27471;1530604;23;2;1136;09.04.2019;6;190
58;107583;1578511;9;2;18090;11.04.2019;6;3015
59;108617;1538994;23;2;13432;20.04.2019;12;1120
60;27957;1538994;12;2;13149;08.05.2019;6;2192
61;27814;1578511;20;2;17925;13.05.2019;12;1494
62;39440;1616966;23;2;4652;15.05.2019;6;776
63;2718;1616966;20;2;4585;15.05.2019;12;383
64;59563;1616966;2;2;4621;18.05.2019;12;386
65;77198;1206206;23;2;17115;31.05.2019;12;1427
66;84660;1578511;23;2;18153;31.05.2019;12;1513
67;3870;1274886;20;2;12478;02.06.2019;12;1040
68;52137;1538994;23;2;13206;03.06.2019;12;1101
69;46648;1616966;23;2;4595;21.06.2019;6;766
70;96991;1578511;23;2;18273;23.06.2019;6;3046
71;100584;1570989;23;2;16610;30.06.2019;6;2769
72;4243;1206206;20;2;17481;28.07.2019;12;1457
73;43304;1578511;23;2;18134;31.07.2019;12;1512
74;48323;1206206;17;2;17164;31.07.2019;12;1431
75;13525;1578511;9;2;18156;05.08.2019;6;3026
76;53272;1704297;23;2;6914;08.08.2019;6;1153
77;103626;1570989;23;2;16481;20.08.2019;6;2747
78;95292;1538994;23;2;13511;25.08.2019;6;2252
79;90698;1616966;2;2;4485;25.08.2019;6;748
80;3145;1538994;19;2;13340;02.09.2019;12;1112
81;4454;1206206;12;2;17105;24.09.2019;6;2851
82;107045;1206206;23;2;17133;03.10.2019;6;2856
83;57118;1538994;12;2;13376;13.10.2019;6;2230
84;217;1578511;20;2;18032;15.10.2019;6;3006
85;92921;1530604;23;2;1026;22.10.2019;12;86
86;36627;1206206;17;2;17170;12.11.2019;6;2862
87;34934;1704297;23;2;6794;03.12.2019;12;567
88;166;1570989;23;2;16378;07.12.2019;12;1365
89;10318;1274886;20;2;12539;10.12.2019;12;1045
90;28639;1704297;23;2;7080;17.12.2019;12;590
1;76007;916490;17;3;12122;03.01.2018;12;1011
2;95744;916490;18;3;11751;04.01.2018;12;980
3;97976;916468;19;3;7822;05.01.2018;12;652
4;64951;916468;12;3;7929;05.01.2018;12;661
5;4222;644354;9;3;5311;05.01.2018;12;443
6;110818;916468;17;3;8043;06.01.2018;6;1341
7;30944;916468;18;3;7772;15.01.2018;12;648
8;26620;1204685;9;3;14031;22.01.2018;12;1170
9;19577;916176;23;3;6499;23.01.2018;6;1084
10;89088;1204677;23;3;18190;04.02.2018;12;1516
11;79167;916490;12;3;11931;15.02.2018;6;1989
12;57865;937057;9;3;5240;18.02.2018;12;437
13;54746;916477;17;3;8928;21.02.2018;12;744
14;97078;916490;17;3;12140;22.02.2018;6;2024
15;69272;916477;9;3;9122;05.03.2018;6;1521
16;74178;644294;17;3;4529;06.03.2018;6;755
17;76277;916176;17;3;6509;16.03.2018;6;1085
18;35394;916490;9;3;11958;17.03.2018;12;997
19;105797;1204677;23;3;18224;18.03.2018;6;3038
20;63618;937057;18;3;5096;26.03.2018;12;425
21;28513;916468;23;3;8086;03.04.2018;6;1348
22;68140;937057;19;3;5284;08.04.2018;6;881
23;73046;644294;9;3;4611;13.04.2018;12;385
24;83182;916468;17;3;7710;28.04.2018;6;1285
25;93684;916477;18;3;8982;30.04.2018;12;749
26;44153;916477;17;3;8989;03.05.2018;6;1499
27;71353;937057;19;3;5227;18.05.2018;12;436
28;6469;644354;19;3;5226;26.05.2018;6;871
29;61977;916176;17;3;6498;29.05.2018;12;542
30;52457;937057;18;3;5175;30.06.2018;6;863
31;108543;644294;19;3;4519;03.07.2018;6;754
32;56407;937057;19;3;5346;05.07.2018;6;891
33;32141;916176;17;3;6519;18.07.2018;12;544
34;92569;1204676;12;3;9419;19.07.2018;12;785
35;32237;644294;19;3;4391;21.07.2018;12;366
36;49327;1204677;18;3;18147;26.07.2018;12;1513
37;78795;644354;9;3;5569;02.08.2018;6;929
38;17533;937057;9;3;4993;13.08.2018;12;417
39;27954;1204685;9;3;14087;14.08.2018;12;1174
40;23074;644294;9;3;4670;14.08.2018;12;390
41;34066;1204685;9;3;13990;18.08.2018;6;2332
42;67013;644294;9;3;4313;21.08.2018;12;360
43;84064;1204677;23;3;17954;25.08.2018;12;1497
44;1074;644354;19;3;5234;25.08.2018;12;437
45;36555;916468;23;3;7825;06.09.2018;6;1305
46;43644;916490;18;3;12006;08.09.2018;12;1001
47;17516;916490;23;3;11773;12.09.2018;6;1963
48;114625;916490;17;3;12009;15.09.2018;12;1001
49;111452;937057;17;3;5284;15.09.2018;12;441
50;104766;916176;12;3;6421;21.09.2018;6;1071
51;55581;1204677;23;3;18007;21.09.2018;6;3002
52;103154;916490;9;3;11916;11.10.2018;12;993
53;88419;1204685;12;3;13966;11.10.2018;12;1164
54;31347;916176;19;3;6364;12.10.2018;6;1061
55;34879;916468;9;3;7793;17.10.2018;6;1299
56;23540;916490;9;3;12077;18.10.2018;12;1007
57;64693;1204676;9;3;9553;21.10.2018;6;1593
58;43810;644294;19;3;4297;25.10.2018;6;717
59;84055;916468;19;3;8071;27.10.2018;12;673
60;59691;916468;17;3;7900;28.10.2018;12;659
61;50163;916490;12;3;11840;01.11.2018;12;987
62;76165;916468;17;3;7771;03.11.2018;6;1296
63;33552;916468;18;3;8040;06.11.2018;6;1340
64;62566;916176;19;3;6461;10.11.2018;12;539
65;103054;1204676;23;3;9588;14.11.2018;12;799
66;11555;916468;17;3;8146;17.11.2018;12;679
67;96005;937057;9;3;5004;21.11.2018;12;417
68;30794;644294;9;3;4488;29.11.2018;6;748
69;84918;644294;19;3;4436;15.12.2018;6;740
70;61518;937057;19;3;5301;19.12.2018;12;442
71;111255;916477;9;3;9122;19.12.2018;6;1521
72;82835;1204676;9;3;9520;23.12.2018;12;794
73;27807;644354;19;3;5623;27.12.2018;12;469
74;25270;1204677;23;3;18042;29.12.2018;12;1504
75;34612;916176;18;3;6574;30.12.2018;12;548
76;83848;916477;18;3;8971;31.12.2018;6;1496
77;90205;1204676;9;3;9366;03.01.2019;6;1561
78;77044;916477;9;3;8884;12.01.2019;12;741
79;28024;937057;18;3;4953;14.01.2019;6;826
80;6987;916490;17;3;12086;19.01.2019;6;2015
81;53894;916468;9;3;8160;19.01.2019;12;680
82;22880;1204677;23;3;17829;20.01.2019;12;1486
83;109907;1204685;12;3;14243;22.01.2019;12;1187
84;108517;644354;19;3;5437;24.01.2019;6;907
85;93508;937057;19;3;5047;26.01.2019;6;842
86;11888;916468;23;3;7929;01.02.2019;12;661
87;69245;1204676;23;3;9349;03.02.2019;6;1559
88;63719;916477;9;3;8949;12.02.2019;6;1492
89;108011;937057;18;3;5352;12.02.2019;12;446
90;102146;916490;12;3;11739;13.02.2019;12;979
91;94781;916490;18;3;11870;21.02.2019;12;990
92;70501;1204676;12;3;9523;22.02.2019;6;1588
93;15152;916468;18;3;7831;27.02.2019;6;1306
94;46;937057;19;3;5262;27.02.2019;6;877
95;21700;916176;19;3;6580;02.03.2019;6;1097
96;61709;916477;18;3;8944;02.03.2019;6;1491
97;85788;916176;9;3;6563;03.03.2019;12;547
98;83356;916477;18;3;8889;07.03.2019;12;741
99;94183;644294;9;3;4410;18.03.2019;12;368
100;45929;916176;17;3;6285;20.03.2019;6;1048
101;95077;916490;9;3;12121;22.03.2019;6;2021
102;12841;937057;17;3;5239;25.03.2019;12;437
103;15926;937057;9;3;5124;01.04.2019;12;427
104;16209;1204685;18;3;13961;16.04.2019;6;2327
105;106805;644354;17;3;5554;16.04.2019;12;463
106;8839;916477;23;3;9032;19.04.2019;12;753
107;75058;916477;9;3;8786;22.04.2019;12;733
108;48947;1204685;18;3;14239;30.04.2019;12;1187
109;46316;916176;9;3;6242;05.05.2019;6;1041
110;12821;916176;19;3;6451;11.05.2019;12;538
111;94273;937057;9;3;5117;17.05.2019;12;427
112;95240;1204685;18;3;14139;21.05.2019;12;1179
113;5496;644354;17;3;5530;22.05.2019;12;461
114;86371;916468;23;3;8090;26.05.2019;6;1349
115;57555;916468;17;3;8027;26.05.2019;6;1338
116;38859;916490;12;3;12101;14.06.2019;12;1009
117;76076;644354;19;3;5616;20.06.2019;12;468
118;65117;916490;17;3;12085;22.06.2019;6;2015
119;97201;916176;17;3;6325;23.06.2019;6;1055
120;42581;644354;18;3;5567;23.06.2019;6;928
121;101306;916176;23;3;6520;25.06.2019;6;1087
122;64812;916176;23;3;6207;26.06.2019;12;518
123;4986;1204676;12;3;9559;26.06.2019;6;1594
124;2582;644294;17;3;4361;01.07.2019;12;364
125;86292;1204676;18;3;9401;03.07.2019;6;1567
126;86171;644294;18;3;4511;10.07.2019;6;752
127;109776;916176;12;3;6196;16.07.2019;12;517
128;83022;916468;9;3;7763;21.07.2019;6;1294
129;16625;644354;19;3;5336;26.07.2019;6;890
130;105859;1204676;18;3;9257;05.08.2019;12;772
131;2061;644294;17;3;4391;08.08.2019;12;366
132;83776;1204685;18;3;13859;13.08.2019;6;2310
133;40107;644294;17;3;4365;22.08.2019;6;728
134;74801;1204676;23;3;9530;25.08.2019;6;1589
135;2578;937057;18;3;5367;06.09.2019;6;895
136;25647;916490;17;3;11793;10.09.2019;12;983
137;43857;916176;9;3;6518;11.09.2019;12;544
138;61954;644354;9;3;5350;11.09.2019;12;446
139;53783;916176;18;3;6205;22.09.2019;12;518
140;77128;1204685;9;3;13839;06.10.2019;12;1154
141;91704;644294;17;3;4482;16.10.2019;6;747
142;114901;916477;23;3;9118;17.10.2019;6;1520
143;28967;916176;17;3;6395;29.10.2019;12;533
144;92584;916468;17;3;8135;18.11.2019;12;678
145;6316;916468;19;3;7879;19.11.2019;6;1314
146;70215;916176;9;3;6413;22.11.2019;6;1069
147;108573;916176;12;3;6293;22.11.2019;6;1049
148;35181;644354;19;3;5392;09.12.2019;12;450
149;39690;644294;17;3;4499;18.12.2019;6;750
150;11800;644294;17;3;4485;21.12.2019;6;748
151;66447;916176;19;3;6503;23.12.2019;12;542
152;6411;916490;12;3;11874;24.12.2019;6;1979
153;90329;916468;23;3;8021;25.12.2019;12;669
1;24648;1204676;9;4;9247;01.01.2018;6;1542
2;30667;1431817;2;4;20357;01.01.2018;6;3393
3;74111;1431037;14;4;18343;03.01.2018;12;1529
4;57657;1505153;18;4;29027;05.01.2018;12;2419
5;4257;1431037;12;4;18474;08.01.2018;12;1540
6;34087;1503708;12;4;20361;14.01.2018;6;3394
7;106707;1505484;23;4;29803;14.01.2018;12;2484
8;113992;1431817;23;4;20310;16.01.2018;12;1693
9;72506;1503708;20;4;20525;18.01.2018;12;1711
10;88675;1503708;14;4;20506;18.01.2018;12;1709
11;69896;1503763;23;4;25408;19.01.2018;12;2118
12;54208;1660392;18;4;14924;19.01.2018;6;2488
13;12922;1431807;23;4;27689;20.01.2018;6;4615
14;62757;1505484;9;4;29635;22.01.2018;12;2470
15;64744;1431817;23;4;20573;28.01.2018;12;1715
16;108424;1503763;12;4;25664;29.01.2018;6;4278
17;21027;1204861;9;4;16401;31.01.2018;6;2734
18;110583;1503628;14;4;19110;01.02.2018;6;3185
19;694;1431811;23;4;26747;07.02.2018;12;2229
20;12290;1505484;9;4;29971;08.02.2018;6;4996
21;104162;1431815;9;4;28524;09.02.2018;12;2377
22;70317;1660392;23;4;15111;10.02.2018;12;1260
23;8132;1431817;2;4;20329;12.02.2018;6;3389
24;88197;1431811;23;4;26884;20.02.2018;6;4481
25;34125;1505484;18;4;29686;21.02.2018;12;2474
26;14644;1431805;23;4;25193;22.02.2018;12;2100
27;105049;1204861;9;4;16267;22.02.2018;12;1356
28;46053;1431037;2;4;18412;24.02.2018;12;1535
29;48281;1503763;12;4;25645;25.02.2018;12;2138
30;12937;1503628;12;4;19310;01.03.2018;12;1610
31;72599;1503763;2;4;25595;02.03.2018;6;4266
32;107205;1431037;2;4;18427;03.03.2018;6;3072
33;56728;1204861;9;4;16215;04.03.2018;6;2703
